quotation_id,document_name,stage,description,category,unit,quantity,rate_inr,amount_inr,notes,extraction_method
QUO_0ade85e7,Coimbatore Residential Estimate,,Excavation 0–1.5m,,CFT,3340.0,18.0,60120.0,,CSV_import
QUO_0ade85e7,Coimbatore Residential Estimate,,Foundation refilling,,CFT,3006.0,10.0,30060.0,,CSV_import
QUO_0ade85e7,Coimbatore Residential Estimate,,Filling earth,,CFT,4250.8,35.0,148778.0,,CSV_import
QUO_0ade85e7,Coimbatore Residential Estimate,,M-sand filling,,CFT,1195.2,80.0,95616.0,,CSV_import
QUO_0ade85e7,Coimbatore Residential Estimate,,Anti-termite treatment,,Sft,1446.0,12.0,17352.0,,CSV_import
QUO_a5090ae7,Varghese Residence Detailed Estimate,Residential house,Earthwork excavation,,m3,85.12,480.0,40857.6,Prepared by Padmachandra Consulting Engineers,CSV_import
QUO_a5090ae7,Varghese Residence Detailed Estimate,Residential house,Rubble masonry foundation,,m3,34.05,7850.0,267292.5,,CSV_import
QUO_a5090ae7,Varghese Residence Detailed Estimate,Residential house,PCC below foundation,,m3,12.77,5500.0,70235.0,,CSV_import
QUO_a5090ae7,Varghese Residence Detailed Estimate,Residential house,Floor concrete,,m3,13.62,6100.0,83095.73,,CSV_import
QUO_a5090ae7,Varghese Residence Detailed Estimate,Residential house,Steel,,kg,181.34,95.0,17227.34,,CSV_import
QUO_a5090ae7,Varghese Residence Detailed Estimate,Residential house,Plastering,,m2,703.64,720.0,506623.68,,CSV_import
QUO_a5090ae7,Varghese Residence Detailed Estimate,Residential house,Paneled wood doors/windows,,m2,61.17,8750.0,535237.5,,CSV_import
QUO_a5090ae7,Varghese Residence Detailed Estimate,Residential house,Vitrified tiles,,m2,115.51,2750.0,317644.25,,CSV_import
QUO_768f8387,Susamma Jose BOQ,,Civil works,,LS,1.0,3519338.0,3519338.0,Abstract category,CSV_import
QUO_768f8387,Susamma Jose BOQ,,Flooring,,LS,1.0,225000.0,225000.0,Abstract category,CSV_import
QUO_768f8387,Susamma Jose BOQ,,Wood works,,LS,1.0,1319585.0,1319585.0,Abstract category,CSV_import
QUO_768f8387,Susamma Jose BOQ,,Painting works,,LS,1.0,395162.0,395162.0,Abstract category,CSV_import
QUO_768f8387,Susamma Jose BOQ,,Electrical work,,LS,1.0,240500.0,240500.0,Abstract category,CSV_import
QUO_768f8387,Susamma Jose BOQ,,Plumbing work,,LS,1.0,305000.0,305000.0,Abstract category,CSV_import
QUO_768f8387,Susamma Jose BOQ,,Architectural features,,LS,1.0,916400.0,916400.0,Abstract category,CSV_import
QUO_768f8387,Susamma Jose BOQ,,Interior works,,LS,1.0,1825240.0,1825240.0,Abstract category,CSV_import
QUO_7939a2e7,Harisankar Detailed Estimate,Ground floor,Earthwork excavation,,m3,95.0,450.0,42750.0,,CSV_import
QUO_7939a2e7,Harisankar Detailed Estimate,Ground floor,Random rubble masonry,,m3,98.0,3050.0,298900.0,,CSV_import
QUO_94773217,Aswanth Krishna Detailed Estimate,Ground floor,Project estimate,,LS,1.0,4099556.0,4099556.0,Indexed source confirms total; detailed line items available in source,CSV_import
