test_id,category,description,expected,actual,status,severity,run_id
"T10.5","T10","Variance reconciles","-4099000","-4099000","PASS","P0","QA_973d7cac"
"T10.6","T10","Validation status reconciles","document_supported","document_supported","PASS","P1","QA_973d7cac"
"T10.7","T10","Methodology version present","present","1.0","PASS","P2","QA_973d7cac"
"T10.8","T10","CSV export 200","200","200","PASS","P0","QA_973d7cac"
"T10.9","T10","No PII in CSV","absent","absent","PASS","P0","QA_973d7cac"
"T11.1","T11","Test project has QA_TEST prefix","QA_TEST_","QA_TEST_","PASS","P0","QA_973d7cac"
"T11.2","T11","Uses dev SQLite database","dev.db","dev.db","PASS","P0","QA_973d7cac"
"T11.3","T11","QA project does not trigger statistical validation","null metrics","null","PASS","P0","QA_973d7cac"
"T11.4","T11","Cleanup will remove QA_TEST records","yes","yes","PASS","P2","QA_973d7cac"
"T12_GET","T12","Unauth GET rejected","401 or 307","307","PASS","P0","QA_973d7cac"
"T12_POST","T12","Unauth POST rejected","401 or 307","307","PASS","P0","QA_973d7cac"
"T12_PATCH","T12","Unauth PATCH rejected","401 or 307","307","PASS","P0","QA_973d7cac"
"T13.1","T13","Duplicate expenses allowed (by design)","7","7","PASS","P2","QA_973d7cac"
"T13.2","T13","Duplicate completion handled","200","200","PASS","P2","QA_973d7cac"
